Chemical,TypicalUse,HealthHazard,FireHazard,Reactivity,PPE,FirstAid,Neutralization,Flammable,WaterReactive,CriticalAlert,IsolationBaseMeters,VerificationNote,SourceType
Chlorine,Water treatment disinfectant,4,0,0,Full-face respirator; chemical-resistant gloves; goggles/face shield,Move to fresh air immediately; flush eyes/skin with water; seek urgent medical attention,Isolate area; trained hazmat response only,No,No,Toxic inhalation hazard.,300,Verify against site SDS/ERG before use,NOAA CAMEO/ERG-style starter
Sodium Hypochlorite,Disinfection / bleach,3,0,1,Gloves; goggles; face shield if splash risk,Flush eyes/skin with water; move to fresh air if vapors are inhaled,Contain spill; avoid acids; ventilate area,No,No,May release chlorine gas if mixed with acids.,180,Verify against site SDS/ERG before use,NOAA CAMEO/ERG-style starter
Calcium Hypochlorite,Disinfection tablets/granules,3,0,2,Gloves; goggles; dust protection,Flush eyes/skin with water; move to fresh air if inhaled,Keep away from organics; contain dry material,No,No,Strong oxidizer. May intensify fire.,200,Verify against site SDS/ERG before use,NOAA CAMEO/ERG-style starter
Ammonia,Lab reagent / wastewater treatment,3,1,0,Goggles; gloves; respirator for high concentrations,Move to fresh air; flush eyes/skin; seek care if symptoms persist,Ventilate area; contain spill if safe,No,No,Strong respiratory irritant.,180,Verify against site SDS/ERG before use,NOAA CAMEO/ERG-style starter
Hydrochloric Acid,pH adjustment / lab acid,3,0,1,Acid-resistant gloves; goggles; face shield,Flush eyes/skin for at least 15 minutes; move to fresh air; get medical attention,Neutralize carefully if trained; contain spill,No,No,Corrosive acid. Avoid metal contact and inhalation.,180,Verify against site SDS/ERG before use,NOAA CAMEO/ERG-style starter
Sulfuric Acid,Digestion / pH control / battery acid,4,0,1,Face shield; acid-resistant gloves; apron,Flush eyes/skin for at least 15 minutes; seek immediate medical attention,Use dry absorbent; add acid to water only; neutralize carefully if trained,No,No,Corrosive chemical. Water addition causes heat/spattering.,220,Verify against site SDS/ERG before use,NOAA CAMEO/ERG-style starter
Nitric Acid,Lab digestion / analytical chemistry,4,0,2,Face shield; acid-resistant gloves; apron,Flush eyes/skin with water; move to fresh air; get urgent medical care,Contain spill; avoid organic materials and reducing agents,No,No,Strong oxidizing acid.,220,Verify against site SDS/ERG before use,NOAA CAMEO/ERG-style starter
Phosphoric Acid,pH adjustment / cleaning,3,0,1,Gloves; goggles; face shield if splash risk,Flush eyes/skin with water; seek care for persistent symptoms,Neutralize carefully if trained; contain spill,No,No,Corrosive liquid.,150,Verify against site SDS/ERG before use,NOAA CAMEO/ERG-style starter
Sodium Hydroxide,pH adjustment / caustic cleaning,3,0,1,Chemical-resistant gloves; goggles; face shield,Flush eyes/skin immediately with water for at least 15 minutes,Contain spill; neutralize cautiously if trained,No,No,Corrosive alkali. Generates heat in water.,160,Verify against site SDS/ERG before use,NOAA CAMEO/ERG-style starter
Potassium Hydroxide,Strong base / lab reagent,3,0,1,Chemical-resistant gloves; goggles; face shield,Flush eyes/skin immediately with water for at least 15 minutes,Contain spill; neutralize cautiously if trained,No,No,Corrosive alkali.,160,Verify against site SDS/ERG before use,NOAA CAMEO/ERG-style starter
Hydrogen Peroxide (30-35%),Oxidant / lab / treatment,3,0,2,Gloves; goggles; face shield,Flush eyes/skin with water; move to fresh air if vapors are irritating,Keep away from combustibles/metals; dilute/contain if trained,No,No,Strong oxidizer. Can accelerate combustion.,180,Verify against site SDS/ERG before use,NOAA CAMEO/ERG-style starter
Aluminum Sulfate (Alum),Coagulation / water treatment,2,0,0,Gloves; goggles; dust mask for dry product,Flush eyes/skin with water; move to fresh air if dust inhaled,Contain dry material; avoid generating dust,No,No,Irritant; avoid dust exposure.,100,Verify against site SDS/ERG before use,NOAA CAMEO/ERG-style starter
Ferric Chloride,Coagulation / wastewater treatment,3,0,1,Gloves; goggles; face shield,Flush eyes/skin with water; move to fresh air if mist inhaled,Contain spill; avoid contact with metals/bases,No,No,"Corrosive, acidic salt solution.",150,Verify against site SDS/ERG before use,NOAA CAMEO/ERG-style starter
